make,model,trim,cylinder_layout,number_of_cylinders,engine_type,mixed_fuel_consumption_per_100km,city_fuel_per_100km,highway_fuel_per_100km
Alfa Romeo,GTV,2.0 JTS MT,Inline,4,Gasoline,9.2,13.3,6.8
Alfa Romeo,GTV,2.0 MT,Inline,4,Gasoline,9.2,13.3,6.8
Alfa Romeo,GTV,3.2 MT,V-type,6,Gasoline,13.2,19.9,9.3
Alfa Romeo,Giulia,2.0 AT Q4,Inline,4,Gasoline,6.4,8.9,4.9
Alfa Romeo,Giulia,2.0 AT,Inline,4,Gasoline,6,8.4,4.6
Alfa Romeo,Giulia,2.2 D AE AT,Inline,4,Diesel,3.8,4.8,3.2
Alfa Romeo,Giulia,2.2 D AT Q4,Inline,4,Diesel,4.7,5.8,4
Alfa Romeo,Giulia,2.2 D AT,Inline,4,Diesel,4.2,5.3,3.5
Alfa Romeo,Giulia,2.2 D MT,Inline,4,Diesel,4.2,5.3,3.5
Alfa Romeo,Giulia,2.9 AT,V-type,6,Gasoline,8.2,12.4,5.7
Alfa Romeo,Giulia,2.9 MT,V-type,6,Gasoline,8.5,12.8,6
Alfa Romeo,Giulietta,1.3 MT,Inline,4,Gasoline,10.1,12.2,7.5
Alfa Romeo,Giulietta,1.4 AMT,inline,4,petrol,4.9,6.3,4.1
Alfa Romeo,Giulietta,1.4 MT,inline,4,petrol,6.2,8.1,5.1
Alfa Romeo,Giulietta,1.4 TB MT,Inline,4,Gasoline,6.4,8.4,5.3
Alfa Romeo,Giulietta,1.4 TB MultiAir MT,Inline,4,Gasoline,5.8,7.8,4.6
Alfa Romeo,Giulietta,1.4 TB MultiAir TCT,Inline,4,Gasoline,5.1,6.6,4.3
Alfa Romeo,Giulietta,1.6 AMT,inline,4,diesel,3.8,4.7,3.2
Alfa Romeo,Giulietta,1.6 JTDm MT,Inline,4,Diesel,4.4,5.5,3.7
Alfa Romeo,Giulietta,1.6 MT,Inline,4,Gasoline,9.6,13.2,7.6
Alfa Romeo,Giulietta,1.7 AMT,inline,4,petrol,6.8,9.5,5.2
Alfa Romeo,Giulietta,1.75 Quadrifoglio Verde TBi MT,Inline,4,Gasoline,7.6,10.8,5.8
Alfa Romeo,Giulietta,1.8 MT,Inline,4,Gasoline,10.1,13.2,7.4
Alfa Romeo,Giulietta,2.0 AMT,inline,4,diesel,4.3,5.1,3.8
Alfa Romeo,Giulietta,2.0 JTDm MT,Inline,4,Diesel,4.7,5.8,4.1
Alfa Romeo,Giulietta,2.0 MT,Inline,4,Gasoline,9.6,13.5,7.1
Alfa Romeo,Giulietta,2.0 T MT,Inline,4,Gasoline,12.2,14.1,9.3
Alfa Romeo,Giulietta,2.0 TD MT,Inline,4,Diesel,8.1,9.1,6.2
Alfa Romeo,MiTo,0.9 MT TwinAir,Inline,2,Gasoline,4.2,5,3.8
Alfa Romeo,MiTo,0.9 MT,inline,2,petrol,4.2,5,3.8
Alfa Romeo,MiTo,1.3 MT JTD,Inline,4,Diesel,3.5,4.4,2.9
Alfa Romeo,MiTo,1.3 Multijet II MT,Inline,4,Diesel,4.3,5.5,3.6
Alfa Romeo,MiTo,1.3 Multijet MT,Inline,4,Diesel,4.5,6,3.6
Alfa Romeo,MiTo,1.4 AMT,inline,4,petrol,5.5,7.3,4.5
Alfa Romeo,MiTo,1.4 MT GPl,Inline,4,Gasoline,8.1,10.6,6.6
Alfa Romeo,MiTo,1.4 MT Junior,Inline,4,Gasoline,5.9,7.7,4.8
Alfa Romeo,MiTo,1.4 MT MultiAir,Inline,4,Gasoline,5.7,7.5,4.7
Alfa Romeo,MiTo,1.4 MT,Inline,4,Gasoline,5.9,7.7,4.8
Alfa Romeo,MiTo,1.4 T-Jet MT,Inline,4,Gasoline,6.5,8.5,5.3
Alfa Romeo,MiTo,1.4 TBi MT,Inline,4,Gasoline,6.1,8.1,5
Alfa Romeo,MiTo,1.4 TCT MultiAir,Inline,4,Gasoline,5.5,7.1,4.5
Alfa Romeo,MiTo,1.4 TsT MultiAir,Inline,4,Gasoline,5.5,7.1,4.5
Alfa Romeo,MiTo,1.6 JTD MT,Inline,4,Diesel,4.8,5.9,4.1
Alfa Romeo,MiTo,1.6 MT JTD,Inline,4,Diesel,4.4,5.3,3.8
Alfa Romeo,MiTo,1.6 MT,inline,4,diesel,4.8,5.9,4.1
Alfa Romeo,S.Z./R.Z.,3.0 MT,V-type,6,Gasoline,9,13,7
Alfa Romeo,Spider,2.0 MT,Inline,4,Gasoline,9.2,13.3,6.8
Alfa Romeo,Spider,2.2 MT,Inline,4,Gasoline,9.5,13.2,7.3
Alfa Romeo,Spider,3.0 MT,V-type,6,Gasoline,11.7,16.8,8.8
Alfa Romeo,Spider,3.2 AT 4x4,V-type,6,Gasoline,9.3,18.6,8.6
Alfa Romeo,Spider,3.2 MT 4X4,V-type,6,Gasoline,11,16,8
Alfa Romeo,Spider,3.2 MT,V-type,6,Gasoline,13.2,19.9,9.2
Alfa Romeo,Stelvio,2.0 AT Q4,Inline,4,Gasoline,7,8.9,5.9
Alfa Romeo,Stelvio,2.2 D AT Q4,Inline,4,Diesel,4.8,5.5,4.4
Alfa Romeo,Stelvio,2.2 D AT,Inline,4,Diesel,4.7,5.5,4.3
Alpina,B10,3.3 MT,Inline,6,Gasoline,10,14.7,7
Alpina,B10,4.6 AT Switchtronic,V-type,8,Gasoline,13,19,9
Alpina,B12,5.0 AT,V-type,12,Gasoline,10,19,8
Alpina,B12,6.0 AT,V-type,12,Gasoline,15.5,24.6,10.2
Alpina,B3,3.0 AT,Inline,6,Gasoline,9.9,14.2,7.4
Alpina,B3,3.0 Allrad AT,Inline,6,Gasoline,10.2,14.7,7.6
Alpina,B3,3.0 BITURBO AT SWITCH-TRONIC,Inline,6,Gasoline,9.6,13.7,7.2
Alpina,B3,3.0 SWITCH-TRONIC AWD,Inline,6,Gasoline,7.9,10.6,6.3
Alpina,B3,3.0 SWITCH-TRONIC,Inline,6,Gasoline,7.6,10.2,6.1
Alpina,B3,3.0i AT,Inline,6,Gasoline,9.9,14.2,7.4
Alpina,B3,3.0i Allrad AT,Inline,6,Gasoline,10.2,14.7,7.6
Alpina,B3,3.0i Allroad AT,Inline,6,Gasoline,10.1,14.6,7.5
Alpina,B3,3.3 AT Switchtronic Allrad,Inline,6,Gasoline,11,17,8
Alpina,B3,3.3 MT,Inline,6,Gasoline,11,16,8
Alpina,B4,3.0 BITURBO SWITCH-TRONIC AWD,Inline,6,Gasoline,7.9,10.6,6.3
Alpina,B4,3.0 BITURBO SWITCH-TRONIC,Inline,6,Gasoline,7.6,10.2,6.1
Alpina,B5,4.4 AT,V-type,8,Gasoline,12.3,18.6,8.7
Alpina,B5,4.4 BITURBO SWITCH-TRONIC AT,V-type,8,Gasoline,10.5,15,7.9
Alpina,B6,2.8 MT,Inline,6,Gasoline,8,13,6
Alpina,B6,4.4 AT,V-type,8,Gasoline,12.8,18.9,9.3
Alpina,B6,4.4 BITURBO SWITCH-TRONIC AWD,V-type,8,Gasoline,10.4,14.3,8.2
Alpina,B6,4.4 BITURBO SWITCH-TRONIC,V-type,8,Gasoline,9.6,13.2,7.5
Alpina,B7,4.4 AT LWB AWD,V-type,8,Gasoline,12.1,17.4,9
Alpina,B7,4.4 AT LWB,V-type,8,Gasoline,11.9,17.7,8.6
Alpina,B7,4.4 AT SWB AWD,V-type,8,Gasoline,12.4,17.6,9.4
Alpina,B7,4.4 AT SWB,V-type,8,Gasoline,12.1,17.4,9
Alpina,B7,4.4 AT,V-type,8,Gasoline,15.9,20,10
Alpina,B7,4.4 BITURBO SWITCH-TRONIC LWB AWD,V-type,8,Gasoline,10.4,14.3,8.2
Alpina,B7,4.4 BITURBO SWITCH-TRONIC LWB,V-type,8,Gasoline,9.9,13.5,7.8
Alpina,B7,4.4 BITURBO SWITCH-TRONIC SWB AWD,V-type,8,Gasoline,10.4,14.3,8.2
Alpina,B7,4.4 BITURBO SWITCH-TRONIC SWB,V-type,8,Gasoline,9.9,13.5,7.8
Alpina,B7,4.4 L AT,V-type,8,Gasoline,15.9,20,10
Alpina,D10,2.9 D MT,Inline,6,Diesel,7,9,6
Alpina,D3,2.0 AT RWD,Inline,4,Diesel,6,8.2,4.8
Alpina,D3,2.0 MT RWD,Inline,4,Diesel,5.4,6.7,4.6
Alpina,D3,3.0 BITURBO SWITCH-TRONIC AWD,Inline,6,Diesel,5.6,6.3,5.2
Alpina,D3,3.0 BITURBO SWITCH-TRONIC,Inline,6,Diesel,5.3,6,4.9
Alpina,D5,3.0 BITURBO AT SWITCH-TRONIC,Inline,6,Diesel,5.9,7,5.3
Alpina,D5,3.0 SWITCH-TRONIC,Inline,6,Diesel,5.9,7,5.3
Alpina,Roadster V8,4.8 MT,V-type,8,Gasoline,9,15,7.5
Alpina,XD3,3.0 BITURBO SWITCH-TRONIC AWD,Inline,6,Diesel,6.6,7.3,6.2
Alpine,A110,1.8 AMT,Inline,4,Gasoline,6.1,8.2,5
Alpine,A610,3.0 MT,V-type,6,Gasoline,9,14,7
Asia,Rocsta,2.2 D MT,Inline,4,Diesel,10,12,8
Aston Martin,Cygnet,1.3 CVT,Inline,4,Gasoline,5.2,6.1,4.6
Aston Martin,Cygnet,1.3 MT,Inline,4,Gasoline,5,5.8,4.5
Aston Martin,DB11,4.0 V8 AT,V-type,8,Gasoline,9.9,13.5,7.9
Aston Martin,DB11,5.2 V12 AMR AT,V-type,12,Gasoline,11.4,16.6,8.5
Aston Martin,DB7,5.9 AT,V-type,12,Gasoline,18.7,20,10
Aston Martin,DB7,5.9 MT,V-type,12,Gasoline,18.7,20,10
Aston Martin,DB9,5.9 AT,V-type,12,Gasoline,16.4,24,12
Aston Martin,DB9,5.9 GT AT,V-type,12,Gasoline,14.3,21.6,10
Aston Martin,DB9,5.9 MT,V-type,12,Gasoline,16.4,24,12.2
Aston Martin,DB9,5.9 V12 AT,V-type,12,Gasoline,14.3,21.6,10
Aston Martin,DB9,5.9 V12 MT,V-type,12,Gasoline,16.4,24.6,11.7
Aston Martin,DBS,6.0 V12 AT,V-type,12,Gasoline,16.4,24.3,11.7
Aston Martin,DBS,6.0 V12 MT,V-type,12,Gasoline,16.4,24.3,11.7
Aston Martin,Lagonda,5.3 AT,V-type,8,Gasoline,19.8,25,18
Aston Martin,Rapide,5.9 AT,V-type,12,Gasoline,14.3,21.4,10.1
Aston Martin,V8 Vantage,4.3 AMT,V-type,8,Gasoline,17.2,25.2,12.5
Aston Martin,V8 Vantage,4.3 MT,V-type,8,Gasoline,15,22.5,10.6
Aston Martin,V8 Vantage,4.7 AMT,V-type,8,Gasoline,12.9,19.2,9.3
Aston Martin,Vanquish,5.9 AT,V-type,12,Gasoline,14.4,21.4,10.2
Aston Martin,Vanquish,5.9 Sportshift,V-type,12,Gasoline,18.9,28.2,13.4
Aston Martin,Vantage,4.0 AT,V-type,8,Gasoline,10.5,14.4,8.2
Aston Martin,Vantage,4.3 V8 MT,V-type,8,Gasoline,17.2,25.2,12.5
Aston Martin,Vantage,4.3 V8 Sportshift,V-type,8,Gasoline,15.1,23.2,10.4
Aston Martin,Vantage,4.7 V8 AT,V-type,8,Gasoline,15.1,23.2,10.4
Aston Martin,Vantage,4.7 V8 MT,V-type,8,Gasoline,13.9,19.9,10.4
Aston Martin,Vantage,4.7 V8 Sportshift,V-type,8,Gasoline,13.2,19.4,9.6
Aston Martin,Vantage,5.9 V12 MT,V-type,12,Gasoline,16.4,24.3,11.7
Aston Martin,Vantage,5.9 V12 Sportshift III,V-type,12,Gasoline,16.4,24.3,11.7
Aston Martin,Virage,5.9 AT,V-type,12,Gasoline,15,22.3,10.8
Aston Martin,Virage,6.0 V12 AT,V-type,12,Gasoline,15,22.3,10.8
Audi,100,2.0 AT,inline,4,Gasoline,8.1,11.7,7.3
Audi,100,2.0 MT 4WD,inline,4,petrol,8.5,11.9,7.3
Audi,100,2.0 MT,inline,4,Gasoline,8.1,10.7,6.6
Audi,100,2.2 AT 4WD,inline,5,petrol,10.8,16.1,8.8
Audi,100,2.2 MT 4WD,inline,5,petrol,10,14.6,8.2
Audi,100,2.3 AT,inline,5,Gasoline,9.6,12.8,7.7
Audi,100,2.3 MT 4WD,inline,5,petrol,9.6,12.7,7.3
Audi,100,2.4 MT,inline,5,Diesel,7.5,9.9,5.5
Audi,100,2.5 AT,inline,5,Diesel,6.7,7.5,4.8
Audi,100,2.5 MT,inline,5,Diesel,6.7,7.5,4.8
Audi,100,2.6 AT 4WD,V-type,6,petrol,10,13.3,8
Audi,100,2.6 MT 4WD,V-type,6,petrol,10,13.3,8
Audi,100,2.8 AT 4WD,V-type,6,petrol,10,13.5,8
Audi,100,2.8 MT 4WD,V-type,6,petrol,10,13.5,8
Audi,100,4.2 MT 4WD,V-type,8,petrol,11.3,18.9,9.3
Audi,200,2.1 AT,inline,5,petrol,9.9,13.8,7.4
Audi,200,2.1 MT 4WD,inline,5,petrol,10.1,14.2,7.1
Audi,200,2.1 MT,inline,5,petrol,9.5,12.8,6.9
Audi,200,2.1 Quattro MT,Inline,5,Gasoline,10.1,14.2,7.1
Audi,200,2.1 Turbo AT,Inline,5,Gasoline,10.6,12.8,6.9
Audi,200,2.1 Turbo MT,Inline,5,Gasoline,9.5,12.8,6.9
Audi,200,2.2 AT 4WD,inline,5,petrol,10.9,14.4,8.1
Audi,200,2.2 AT,inline,5,petrol,10.9,14.4,7.9
Audi,200,2.2 MT 4WD,inline,5,petrol,10.8,14.9,7.7
Audi,200,2.2 MT,inline,5,petrol,9.9,13.2,7.2
Audi,200,2.2 Quattro MT,Inline,5,Gasoline,10.8,13.5,9.5
Audi,200,2.2 Turbo AT,Inline,5,Gasoline,9.7,13.2,6.9
Audi,200,2.2 Turbo MT,Inline,5,Gasoline,9.7,13.2,6.9
Audi,80,1.3 MT,inline,4,petrol,8.9,10.3,6.9
Audi,80,1.6 AT,inline,4,petrol,6.9,9.9,5.5
